Age,Gender,Location,Parental Occupation,Study Hours,Previously Written JAMB,WAEC English Score,WAEC Maths Score,Internet Access,Understanding of Subjects,Confidence in JAMB Success,CBT Experience,Feelings about CBT,Learning Materials Availability,Educational Technology Usage,Support for Exam Preparation,Suggestions for School Improvement,Adequate JAMB Preparation,Result
18,Male,Victoria Island (Private),Business owner,1-3 hours,No,55,91,Yes,Average,Very confident,Yes,Comfortable,Poor,Occasionally,"Extra lessons, More past questions, Better textbooks",Improved facilities,Yes,Pass
19,Male,Ikorodu (Public),Civil servant,Less than 1 hour,No,57,80,Yes,Poor,Very confident,Yes,Comfortable,Fair,Never,"Tutors, Extra lessons",Improved facilities,No,Pass
16,Female,Lekki (Private),Business owner,More than 5 hours,Yes,62,59,No,Good,Somewhat confident,No,Neutral,Poor,Occasionally,"More past questions, Extra lessons, Better textbooks",Extra classes,No,Fail
18,Male,Ikorodu (Public),Civil servant,More than 5 hours,Yes,77,68,No,Excellent,Very confident,Yes,Neutral,Good,Occasionally,"Counseling, More past questions, Tutors",More practical lessons,Yes,Pass
16,Female,Others,Trader,1-3 hours,No,96,91,No,Good,Somewhat confident,Yes,Comfortable,Fair,Never,"More past questions, Extra lessons, Tutors",Improved facilities,No,Fail
19,Male,Epe (Public),Trader,1-3 hours,Yes,53,64,Yes,Poor,Very confident,Yes,Comfortable,Fair,Never,"Counseling, Better textbooks",Improved facilities,Yes,Pass
17,Female,Ikorodu (Public),Civil servant,Less than 1 hour,Yes,58,67,No,Good,Confident,Yes,Neutral,Good,Always,"More past questions, Counseling",Improved facilities,Yes,Pass
16,Female,Lekki (Private),Business owner,More than 5 hours,Yes,56,73,No,Excellent,Confident,No,Neutral,Good,Occasionally,Tutors,More teachers,Yes,Fail
20,Female,Lekki (Private),Civil servant,1-3 hours,No,82,82,No,Excellent,Confident,Yes,Neutral,Poor,Never,"Counseling, More past questions, Tutors",Improved facilities,Yes,Pass
20,Female,Ikorodu (Public),Trader,More than 5 hours,Yes,98,78,No,Excellent,Somewhat confident,No,Comfortable,Good,Never,"Tutors, More past questions, Counseling",Improved facilities,No,Fail
20,Male,Epe (Public),Business owner,3-5 hours,Yes,40,66,No,Poor,Somewhat confident,Yes,Comfortable,Good,Often,Tutors,Extra classes,Yes,Fail
20,Female,Ikorodu (Public),Civil servant,3-5 hours,No,50,73,No,Good,Confident,Yes,Neutral,Excellent,Often,"Better textbooks, More past questions, Counseling",More teachers,Yes,Pass
17,Female,Epe (Public),Civil servant,Less than 1 hour,Yes,69,61,Yes,Excellent,Not confident,Yes,Uncomfortable,Fair,Often,Tutors,More teachers,No,Fail
18,Female,Epe (Public),Business owner,Less than 1 hour,Yes,59,50,Yes,Good,Very confident,Yes,Uncomfortable,Fair,Always,"More past questions, Better textbooks",More practical lessons,No,Pass
20,Male,Lekki (Private),Civil servant,More than 5 hours,No,86,86,Yes,Average,Confident,Yes,Neutral,Excellent,Often,More past questions,Extra classes,No,Pass
19,Female,Epe (Public),Trader,More than 5 hours,No,80,52,No,Good,Somewhat confident,Yes,Comfortable,Excellent,Occasionally,"Counseling, Tutors",More practical lessons,No,Fail
20,Male,Others,Artisan,3-5 hours,Yes,76,40,Yes,Good,Confident,Yes,Comfortable,Fair,Often,"Extra lessons, Better textbooks, More past questions",More practical lessons,Yes,Fail
18,Female,Epe (Public),Business owner,Less than 1 hour,Yes,88,62,No,Good,Confident,No,Comfortable,Fair,Never,"Counseling, Better textbooks, Extra lessons",Improved facilities,Yes,Fail
20,Female,Lekki (Private),Artisan,1-3 hours,Yes,66,59,No,Average,Somewhat confident,Yes,Comfortable,Excellent,Occasionally,Better textbooks,More teachers,No,Fail
19,Female,Epe (Public),Artisan,1-3 hours,Yes,63,49,Yes,Average,Somewhat confident,No,Uncomfortable,Poor,Never,"Tutors, Extra lessons, More past questions",More teachers,No,Fail
18,Male,Others,Trader,Less than 1 hour,No,77,90,No,Good,Confident,No,Comfortable,Excellent,Often,Tutors,More teachers,No,Fail
20,Female,Ikorodu (Public),Business owner,More than 5 hours,Yes,43,81,Yes,Excellent,Very confident,No,Neutral,Poor,Occasionally,"More past questions, Better textbooks",More practical lessons,No,Fail
20,Male,Victoria Island (Private),Business owner,More than 5 hours,No,79,47,No,Good,Not confident,Yes,Uncomfortable,Poor,Occasionally,"Extra lessons, Tutors",More teachers,Yes,Fail
19,Female,Others,Trader,More than 5 hours,Yes,76,48,Yes,Poor,Not confident,No,Neutral,Good,Never,"More past questions, Better textbooks",Improved facilities,No,Fail
17,Male,Lekki (Private),Trader,More than 5 hours,Yes,44,40,No,Good,Confident,No,Uncomfortable,Fair,Often,"More past questions, Counseling, Extra lessons",Improved facilities,Yes,Fail
17,Female,Victoria Island (Private),Artisan,More than 5 hours,Yes,54,65,Yes,Average,Not confident,No,Neutral,Fair,Always,"Better textbooks, Extra lessons, More past questions",Improved facilities,No,Fail
17,Male,Ikorodu (Public),Artisan,More than 5 hours,Yes,88,65,No,Excellent,Very confident,No,Neutral,Poor,Often,More past questions,More practical lessons,Yes,Fail
20,Female,Lekki (Private),Business owner,More than 5 hours,No,87,91,Yes,Average,Somewhat confident,No,Comfortable,Poor,Often,"Better textbooks, Extra lessons",More practical lessons,No,Fail
19,Female,Victoria Island (Private),Trader,3-5 hours,No,91,59,No,Good,Somewhat confident,Yes,Neutral,Excellent,Always,Counseling,More teachers,No,Fail
18,Female,Epe (Public),Trader,3-5 hours,Yes,55,95,No,Poor,Somewhat confident,Yes,Uncomfortable,Good,Occasionally,Extra lessons,Extra classes,Yes,Fail
20,Female,Lekki (Private),Civil servant,3-5 hours,No,56,97,Yes,Average,Not confident,Yes,Uncomfortable,Excellent,Always,Better textbooks,Improved facilities,No,Fail
20,Male,Epe (Public),Artisan,3-5 hours,Yes,95,95,Yes,Average,Confident,No,Comfortable,Excellent,Always,Tutors,Improved facilities,No,Fail
17,Male,Others,Civil servant,More than 5 hours,Yes,64,71,No,Poor,Not confident,Yes,Comfortable,Fair,Never,Counseling,Extra classes,Yes,Fail
17,Female,Ikorodu (Public),Trader,3-5 hours,No,78,45,Yes,Good,Confident,No,Neutral,Excellent,Never,Tutors,Extra classes,No,Fail
18,Female,Victoria Island (Private),Civil servant,More than 5 hours,No,53,68,No,Average,Not confident,No,Neutral,Excellent,Occasionally,"Extra lessons, Counseling, Better textbooks",Extra classes,Yes,Fail
16,Female,Ikorodu (Public),Civil servant,3-5 hours,No,51,42,Yes,Excellent,Confident,Yes,Uncomfortable,Fair,Occasionally,More past questions,More practical lessons,No,Fail
18,Female,Lekki (Private),Civil servant,3-5 hours,No,78,86,No,Average,Not confident,Yes,Comfortable,Fair,Always,Tutors,Extra classes,No,Fail
17,Female,Epe (Public),Teacher,More than 5 hours,No,79,48,Yes,Excellent,Confident,No,Comfortable,Excellent,Often,Tutors,Extra classes,Yes,Fail
16,Male,Epe (Public),Teacher,Less than 1 hour,Yes,51,97,Yes,Excellent,Very confident,No,Uncomfortable,Fair,Occasionally,"Tutors, Better textbooks, More past questions",Extra classes,No,Fail
20,Male,Epe (Public),Civil servant,More than 5 hours,No,65,95,Yes,Good,Somewhat confident,No,Uncomfortable,Excellent,Often,"Extra lessons, More past questions, Counseling",More teachers,No,Fail
16,Male,Others,Business owner,Less than 1 hour,Yes,40,96,No,Poor,Not confident,No,Neutral,Poor,Often,Counseling,More teachers,Yes,Fail
20,Male,Epe (Public),Civil servant,More than 5 hours,No,68,78,No,Good,Somewhat confident,Yes,Uncomfortable,Excellent,Occasionally,Extra lessons,More practical lessons,Yes,Fail
20,Male,Victoria Island (Private),Trader,More than 5 hours,No,88,66,No,Average,Very confident,No,Comfortable,Excellent,Never,"Tutors, Extra lessons",More practical lessons,No,Fail
18,Female,Ikorodu (Public),Trader,Less than 1 hour,No,61,84,No,Excellent,Very confident,No,Comfortable,Poor,Occasionally,"Better textbooks, Extra lessons, Tutors",Improved facilities,No,Fail
18,Female,Victoria Island (Private),Artisan,More than 5 hours,Yes,73,69,Yes,Good,Very confident,No,Uncomfortable,Fair,Always,"Better textbooks, Counseling",Extra classes,Yes,Fail
17,Male,Epe (Public),Artisan,1-3 hours,No,93,93,No,Average,Very confident,No,Comfortable,Good,Never,"More past questions, Counseling, Extra lessons",More practical lessons,Yes,Fail
17,Male,Lekki (Private),Trader,3-5 hours,Yes,60,99,No,Poor,Somewhat confident,No,Comfortable,Fair,Occasionally,"Better textbooks, Extra lessons, More past questions",More practical lessons,Yes,Fail
20,Female,Others,Teacher,More than 5 hours,No,89,53,Yes,Good,Somewhat confident,Yes,Uncomfortable,Poor,Never,"Better textbooks, Counseling, Extra lessons",More teachers,Yes,Fail
18,Male,Lekki (Private),Trader,Less than 1 hour,Yes,82,66,No,Poor,Somewhat confident,Yes,Neutral,Good,Occasionally,"Extra lessons, More past questions",More teachers,Yes,Fail
16,Female,Epe (Public),Trader,1-3 hours,Yes,66,86,No,Good,Not confident,Yes,Uncomfortable,Fair,Never,Tutors,Improved facilities,Yes,Fail
16,Male,Lekki (Private),Teacher,1-3 hours,Yes,45,60,No,Good,Confident,Yes,Neutral,Fair,Always,Extra lessons,More practical lessons,No,Fail
17,Male,Ikorodu (Public),Artisan,Less than 1 hour,No,85,100,Yes,Excellent,Confident,Yes,Uncomfortable,Excellent,Never,"Counseling, Extra lessons",More practical lessons,Yes,Pass
16,Female,Others,Trader,3-5 hours,No,44,80,Yes,Good,Somewhat confident,No,Uncomfortable,Poor,Always,Extra lessons,Extra classes,Yes,Fail
16,Male,Epe (Public),Business owner,More than 5 hours,Yes,65,76,Yes,Poor,Confident,Yes,Neutral,Poor,Often,"Better textbooks, Extra lessons",Improved facilities,Yes,Pass
16,Male,Epe (Public),Civil servant,1-3 hours,Yes,83,79,Yes,Excellent,Not confident,Yes,Comfortable,Fair,Never,"Counseling, Extra lessons, Tutors",More teachers,No,Fail
16,Male,Ikorodu (Public),Artisan,Less than 1 hour,No,85,62,Yes,Poor,Very confident,No,Comfortable,Poor,Always,Extra lessons,More practical lessons,Yes,Fail
16,Female,Lekki (Private),Trader,3-5 hours,Yes,56,88,No,Average,Confident,No,Neutral,Poor,Always,"Tutors, More past questions",Improved facilities,No,Fail
19,Female,Lekki (Private),Teacher,1-3 hours,No,70,48,Yes,Good,Confident,No,Uncomfortable,Excellent,Occasionally,"Better textbooks, Tutors, Counseling",Extra classes,Yes,Fail
18,Female,Others,Trader,1-3 hours,Yes,84,70,Yes,Poor,Confident,No,Uncomfortable,Poor,Always,"Better textbooks, Extra lessons",Improved facilities,No,Fail
16,Female,Victoria Island (Private),Teacher,Less than 1 hour,Yes,65,92,No,Average,Not confident,No,Comfortable,Excellent,Always,"Better textbooks, More past questions",More teachers,No,Fail
19,Female,Others,Business owner,More than 5 hours,No,53,85,No,Poor,Somewhat confident,No,Uncomfortable,Excellent,Often,"Tutors, Extra lessons",More practical lessons,Yes,Fail
20,Female,Epe (Public),Civil servant,More than 5 hours,Yes,48,64,No,Average,Very confident,Yes,Neutral,Good,Never,"Tutors, Better textbooks, Extra lessons",Improved facilities,No,Fail
16,Male,Ikorodu (Public),Civil servant,Less than 1 hour,Yes,49,58,Yes,Average,Very confident,No,Neutral,Good,Occasionally,Extra lessons,More teachers,Yes,Fail
17,Male,Others,Civil servant,Less than 1 hour,Yes,66,49,No,Good,Somewhat confident,Yes,Comfortable,Good,Often,"Counseling, Extra lessons, Better textbooks",More practical lessons,Yes,Fail
19,Female,Victoria Island (Private),Civil servant,1-3 hours,No,45,89,No,Excellent,Not confident,No,Uncomfortable,Fair,Often,Counseling,More practical lessons,Yes,Fail
16,Female,Others,Artisan,1-3 hours,No,68,92,Yes,Poor,Confident,No,Neutral,Poor,Often,"More past questions, Counseling",Improved facilities,No,Fail
16,Male,Ikorodu (Public),Teacher,1-3 hours,Yes,68,69,Yes,Average,Confident,Yes,Neutral,Fair,Occasionally,"Better textbooks, Extra lessons",More teachers,No,Pass
18,Female,Lekki (Private),Artisan,1-3 hours,No,56,48,Yes,Good,Very confident,No,Comfortable,Good,Often,"Extra lessons, More past questions",Improved facilities,Yes,Fail
17,Male,Victoria Island (Private),Civil servant,Less than 1 hour,No,60,49,Yes,Excellent,Very confident,No,Comfortable,Good,Occasionally,"Counseling, More past questions, Extra lessons",More teachers,Yes,Fail
16,Female,Ikorodu (Public),Business owner,1-3 hours,No,91,47,Yes,Excellent,Very confident,No,Uncomfortable,Fair,Never,"Counseling, Tutors, Better textbooks",Improved facilities,No,Fail
20,Male,Victoria Island (Private),Artisan,More than 5 hours,No,82,88,No,Average,Confident,Yes,Uncomfortable,Excellent,Often,"Tutors, Counseling, More past questions",More practical lessons,Yes,Pass
19,Male,Victoria Island (Private),Business owner,Less than 1 hour,No,66,44,Yes,Good,Not confident,Yes,Uncomfortable,Fair,Never,"Tutors, More past questions",More teachers,Yes,Fail
18,Male,Ikorodu (Public),Civil servant,3-5 hours,No,69,60,No,Poor,Confident,No,Uncomfortable,Poor,Never,More past questions,More practical lessons,No,Fail
17,Female,Epe (Public),Business owner,1-3 hours,Yes,57,50,No,Average,Very confident,No,Comfortable,Good,Often,"Counseling, Better textbooks",More practical lessons,Yes,Fail
19,Male,Others,Civil servant,More than 5 hours,Yes,83,90,No,Poor,Not confident,No,Comfortable,Poor,Occasionally,"More past questions, Extra lessons, Counseling",Extra classes,No,Fail
17,Female,Ikorodu (Public),Trader,1-3 hours,No,53,43,No,Excellent,Confident,No,Comfortable,Poor,Occasionally,Counseling,Improved facilities,Yes,Fail
20,Male,Lekki (Private),Civil servant,1-3 hours,No,79,60,Yes,Poor,Very confident,Yes,Uncomfortable,Fair,Often,"More past questions, Extra lessons",Improved facilities,No,Pass
19,Female,Ikorodu (Public),Business owner,Less than 1 hour,No,58,45,No,Average,Confident,Yes,Comfortable,Good,Often,"Extra lessons, More past questions, Counseling",More practical lessons,No,Fail
19,Male,Victoria Island (Private),Trader,Less than 1 hour,No,52,95,No,Good,Very confident,Yes,Comfortable,Excellent,Always,"More past questions, Better textbooks",More teachers,No,Pass
16,Female,Epe (Public),Trader,Less than 1 hour,Yes,72,69,No,Good,Very confident,No,Neutral,Good,Often,Counseling,Improved facilities,Yes,Fail
18,Male,Epe (Public),Civil servant,3-5 hours,Yes,62,76,No,Excellent,Very confident,Yes,Uncomfortable,Fair,Always,More past questions,More practical lessons,No,Pass
20,Female,Ikorodu (Public),Business owner,More than 5 hours,No,53,92,No,Poor,Confident,No,Uncomfortable,Fair,Often,"More past questions, Tutors",More teachers,No,Fail
16,Female,Ikorodu (Public),Business owner,3-5 hours,No,89,73,No,Excellent,Not confident,Yes,Neutral,Poor,Often,Tutors,Improved facilities,Yes,Fail
16,Female,Ikorodu (Public),Artisan,3-5 hours,Yes,47,77,No,Poor,Confident,No,Comfortable,Excellent,Never,Extra lessons,Improved facilities,No,Fail
17,Female,Ikorodu (Public),Teacher,1-3 hours,No,48,40,No,Excellent,Not confident,No,Comfortable,Fair,Always,"More past questions, Better textbooks, Tutors",Extra classes,Yes,Fail
18,Male,Epe (Public),Civil servant,1-3 hours,No,72,59,Yes,Excellent,Confident,No,Neutral,Fair,Often,"Extra lessons, Counseling",More practical lessons,Yes,Fail
18,Female,Others,Civil servant,3-5 hours,Yes,56,67,No,Good,Not confident,No,Uncomfortable,Excellent,Always,"Extra lessons, Better textbooks",More teachers,Yes,Fail
16,Female,Others,Artisan,3-5 hours,No,66,56,Yes,Excellent,Not confident,No,Neutral,Good,Occasionally,"Extra lessons, More past questions, Better textbooks",More practical lessons,No,Fail
19,Female,Victoria Island (Private),Artisan,3-5 hours,No,67,82,Yes,Excellent,Somewhat confident,No,Neutral,Excellent,Never,"Extra lessons, More past questions, Better textbooks",Improved facilities,Yes,Fail
19,Male,Epe (Public),Business owner,More than 5 hours,No,94,82,Yes,Excellent,Confident,Yes,Uncomfortable,Fair,Often,"More past questions, Tutors",More teachers,Yes,Pass
19,Female,Epe (Public),Teacher,Less than 1 hour,No,100,64,No,Poor,Not confident,No,Uncomfortable,Fair,Never,Counseling,Extra classes,No,Fail
18,Female,Epe (Public),Trader,1-3 hours,Yes,99,51,No,Average,Very confident,Yes,Uncomfortable,Fair,Never,"Counseling, More past questions, Tutors",Improved facilities,No,Pass
19,Female,Ikorodu (Public),Teacher,More than 5 hours,No,40,51,Yes,Excellent,Confident,Yes,Neutral,Fair,Never,Better textbooks,More practical lessons,Yes,Fail
20,Male,Victoria Island (Private),Teacher,1-3 hours,Yes,63,95,No,Poor,Very confident,No,Comfortable,Excellent,Always,More past questions,Improved facilities,No,Fail
20,Male,Ikorodu (Public),Teacher,More than 5 hours,No,97,91,Yes,Average,Not confident,No,Uncomfortable,Excellent,Occasionally,"Extra lessons, Better textbooks, Counseling",More practical lessons,Yes,Fail
20,Male,Victoria Island (Private),Civil servant,More than 5 hours,Yes,84,56,No,Good,Very confident,Yes,Uncomfortable,Fair,Never,"Better textbooks, Tutors",More practical lessons,Yes,Pass
16,Male,Victoria Island (Private),Artisan,1-3 hours,No,88,74,No,Excellent,Not confident,No,Comfortable,Good,Occasionally,"Better textbooks, Counseling, Tutors",More teachers,Yes,Fail
17,Male,Others,Artisan,3-5 hours,Yes,89,65,No,Good,Confident,Yes,Neutral,Good,Occasionally,"Tutors, More past questions, Extra lessons",More teachers,Yes,Pass
19,Male,Epe (Public),Civil servant,1-3 hours,No,76,91,Yes,Average,Somewhat confident,No,Uncomfortable,Excellent,Occasionally,Better textbooks,Extra classes,No,Fail
20,Female,Epe (Public),Civil servant,3-5 hours,Yes,75,40,No,Excellent,Somewhat confident,No,Comfortable,Good,Always,Better textbooks,Extra classes,Yes,Fail
16,Female,Epe (Public),Trader,Less than 1 hour,No,54,58,No,Excellent,Not confident,No,Neutral,Poor,Often,Extra lessons,Improved facilities,Yes,Fail
18,Male,Others,Business owner,1-3 hours,Yes,99,44,No,Average,Confident,No,Neutral,Good,Occasionally,"Extra lessons, Better textbooks, More past questions",More teachers,Yes,Fail
18,Female,Victoria Island (Private),Civil servant,3-5 hours,No,72,80,No,Poor,Confident,Yes,Uncomfortable,Fair,Often,Tutors,Improved facilities,Yes,Pass
19,Male,Ikorodu (Public),Teacher,3-5 hours,Yes,87,49,No,Excellent,Very confident,Yes,Uncomfortable,Fair,Always,"More past questions, Tutors, Better textbooks",Improved facilities,No,Fail
16,Male,Others,Trader,3-5 hours,Yes,56,85,Yes,Good,Somewhat confident,Yes,Uncomfortable,Poor,Occasionally,Better textbooks,Improved facilities,No,Fail
18,Male,Epe (Public),Business owner,Less than 1 hour,No,96,64,Yes,Average,Very confident,No,Uncomfortable,Fair,Occasionally,"Better textbooks, Counseling, Tutors",Extra classes,Yes,Fail
19,Female,Lekki (Private),Civil servant,Less than 1 hour,Yes,44,44,Yes,Average,Very confident,No,Uncomfortable,Poor,Often,"Better textbooks, More past questions, Tutors",Extra classes,No,Fail
20,Male,Victoria Island (Private),Artisan,1-3 hours,Yes,78,78,No,Good,Very confident,No,Uncomfortable,Good,Occasionally,Extra lessons,Improved facilities,Yes,Fail
18,Female,Lekki (Private),Business owner,1-3 hours,No,81,41,No,Poor,Not confident,Yes,Neutral,Poor,Never,"Tutors, More past questions, Extra lessons",More practical lessons,No,Fail
16,Female,Lekki (Private),Artisan,More than 5 hours,Yes,97,79,Yes,Average,Confident,No,Neutral,Good,Always,"Tutors, More past questions",More teachers,No,Fail
19,Female,Epe (Public),Business owner,More than 5 hours,Yes,85,57,No,Poor,Very confident,No,Neutral,Excellent,Occasionally,"Tutors, Extra lessons, More past questions",Extra classes,Yes,Fail
20,Male,Ikorodu (Public),Civil servant,3-5 hours,No,46,76,No,Poor,Very confident,Yes,Uncomfortable,Good,Often,"More past questions, Extra lessons",Extra classes,Yes,Fail
19,Female,Ikorodu (Public),Trader,3-5 hours,No,89,74,No,Poor,Not confident,No,Uncomfortable,Poor,Always,"Better textbooks, Extra lessons, More past questions",More practical lessons,No,Fail
17,Male,Epe (Public),Artisan,3-5 hours,No,59,77,No,Excellent,Confident,Yes,Uncomfortable,Poor,Always,"Extra lessons, Better textbooks, Tutors",Improved facilities,No,Pass
16,Male,Ikorodu (Public),Artisan,More than 5 hours,No,57,57,Yes,Excellent,Somewhat confident,Yes,Uncomfortable,Good,Often,Counseling,Extra classes,No,Fail
19,Female,Epe (Public),Artisan,1-3 hours,No,41,46,Yes,Average,Confident,No,Neutral,Fair,Always,"More past questions, Tutors, Better textbooks",Extra classes,Yes,Fail
19,Male,Victoria Island (Private),Teacher,3-5 hours,Yes,50,92,No,Excellent,Not confident,No,Uncomfortable,Poor,Occasionally,"Tutors, More past questions, Extra lessons",More teachers,Yes,Fail
20,Male,Others,Trader,Less than 1 hour,Yes,78,54,No,Excellent,Not confident,Yes,Uncomfortable,Fair,Always,"Counseling, Tutors",Improved facilities,No,Fail
17,Male,Lekki (Private),Business owner,More than 5 hours,Yes,96,71,Yes,Average,Confident,No,Comfortable,Fair,Often,"Extra lessons, Counseling, Tutors",Improved facilities,No,Fail
17,Male,Ikorodu (Public),Artisan,1-3 hours,Yes,94,68,Yes,Average,Somewhat confident,No,Comfortable,Poor,Occasionally,Extra lessons,More practical lessons,No,Fail
16,Male,Epe (Public),Business owner,Less than 1 hour,Yes,55,64,No,Average,Very confident,Yes,Uncomfortable,Excellent,Never,"Better textbooks, Extra lessons",Improved facilities,No,Pass
16,Male,Ikorodu (Public),Teacher,1-3 hours,No,71,45,No,Excellent,Very confident,Yes,Comfortable,Good,Never,"Counseling, Extra lessons",Improved facilities,Yes,Fail
17,Female,Epe (Public),Civil servant,More than 5 hours,Yes,43,43,No,Good,Very confident,Yes,Neutral,Good,Always,Counseling,More practical lessons,Yes,Fail
17,Female,Ikorodu (Public),Trader,3-5 hours,Yes,86,74,Yes,Poor,Very confident,No,Comfortable,Excellent,Occasionally,"More past questions, Counseling",More teachers,Yes,Fail
16,Female,Epe (Public),Trader,More than 5 hours,Yes,66,40,Yes,Poor,Confident,No,Neutral,Excellent,Often,"Better textbooks, Counseling",Extra classes,Yes,Fail
19,Male,Ikorodu (Public),Artisan,3-5 hours,No,100,58,Yes,Poor,Somewhat confident,No,Neutral,Fair,Occasionally,Tutors,More practical lessons,No,Fail
16,Female,Ikorodu (Public),Teacher,1-3 hours,No,98,41,No,Excellent,Very confident,Yes,Neutral,Good,Never,"More past questions, Counseling",More teachers,No,Fail
18,Male,Ikorodu (Public),Teacher,Less than 1 hour,Yes,46,68,No,Poor,Not confident,Yes,Neutral,Excellent,Never,"More past questions, Counseling",More teachers,Yes,Fail
18,Female,Epe (Public),Trader,3-5 hours,Yes,59,89,Yes,Excellent,Very confident,No,Comfortable,Good,Never,"Tutors, Better textbooks, Extra lessons",Improved facilities,No,Fail
19,Male,Ikorodu (Public),Business owner,More than 5 hours,Yes,94,46,Yes,Poor,Somewhat confident,Yes,Uncomfortable,Excellent,Always,Tutors,More practical lessons,Yes,Fail
19,Male,Others,Civil servant,3-5 hours,No,82,97,No,Average,Very confident,No,Uncomfortable,Poor,Often,"Counseling, Tutors, Better textbooks",Extra classes,No,Fail
20,Male,Epe (Public),Artisan,1-3 hours,No,45,55,Yes,Poor,Somewhat confident,Yes,Neutral,Good,Always,"More past questions, Counseling, Tutors",More teachers,No,Fail
16,Male,Victoria Island (Private),Trader,1-3 hours,No,41,61,Yes,Good,Confident,No,Uncomfortable,Excellent,Occasionally,"Counseling, Tutors",More teachers,No,Fail
16,Female,Ikorodu (Public),Business owner,More than 5 hours,Yes,99,90,Yes,Good,Confident,Yes,Comfortable,Good,Never,Tutors,More practical lessons,Yes,Pass
16,Male,Ikorodu (Public),Civil servant,More than 5 hours,No,97,72,Yes,Excellent,Very confident,No,Comfortable,Poor,Occasionally,"Better textbooks, Extra lessons, Tutors",More teachers,No,Fail
20,Male,Others,Trader,More than 5 hours,No,41,89,No,Excellent,Not confident,Yes,Comfortable,Poor,Often,"Extra lessons, Tutors",More teachers,Yes,Fail
18,Female,Others,Business owner,Less than 1 hour,Yes,45,89,Yes,Excellent,Confident,Yes,Comfortable,Good,Often,"Better textbooks, More past questions",More teachers,Yes,Fail
20,Male,Others,Trader,More than 5 hours,Yes,97,83,No,Good,Very confident,No,Uncomfortable,Good,Occasionally,"Better textbooks, Extra lessons, More past questions",Extra classes,No,Fail
20,Female,Ikorodu (Public),Artisan,3-5 hours,No,55,90,No,Good,Somewhat confident,No,Uncomfortable,Poor,Often,"More past questions, Extra lessons, Tutors",More teachers,No,Fail
17,Male,Ikorodu (Public),Trader,Less than 1 hour,No,49,86,No,Excellent,Confident,Yes,Comfortable,Excellent,Always,Better textbooks,Improved facilities,Yes,Fail
17,Female,Lekki (Private),Business owner,More than 5 hours,Yes,47,99,No,Poor,Very confident,Yes,Comfortable,Fair,Occasionally,Extra lessons,Extra classes,No,Fail
17,Male,Victoria Island (Private),Business owner,More than 5 hours,No,78,64,No,Good,Confident,No,Uncomfortable,Poor,Often,"Counseling, Extra lessons, More past questions",More teachers,No,Fail
16,Female,Lekki (Private),Civil servant,More than 5 hours,No,50,62,Yes,Good,Confident,Yes,Comfortable,Fair,Always,"Extra lessons, Better textbooks, More past questions",More practical lessons,Yes,Pass
16,Female,Others,Civil servant,Less than 1 hour,No,82,40,Yes,Poor,Confident,No,Neutral,Poor,Often,"More past questions, Counseling",Extra classes,No,Fail
16,Male,Ikorodu (Public),Teacher,3-5 hours,Yes,82,68,Yes,Good,Not confident,Yes,Uncomfortable,Good,Always,"Extra lessons, More past questions, Counseling",Extra classes,No,Fail
20,Male,Others,Artisan,1-3 hours,No,76,91,No,Excellent,Not confident,No,Uncomfortable,Poor,Always,"Tutors, Extra lessons, Better textbooks",Improved facilities,Yes,Fail
17,Male,Lekki (Private),Teacher,Less than 1 hour,Yes,72,65,No,Poor,Very confident,No,Comfortable,Poor,Never,"Extra lessons, Counseling, More past questions",More practical lessons,Yes,Fail
19,Female,Victoria Island (Private),Business owner,1-3 hours,No,80,76,No,Good,Very confident,Yes,Uncomfortable,Poor,Never,"Better textbooks, More past questions",More teachers,Yes,Pass
17,Female,Epe (Public),Business owner,More than 5 hours,Yes,80,60,No,Excellent,Very confident,Yes,Comfortable,Good,Always,"More past questions, Counseling",Improved facilities,No,Pass
19,Male,Epe (Public),Business owner,1-3 hours,No,64,76,Yes,Poor,Somewhat confident,Yes,Comfortable,Poor,Occasionally,"Counseling, Extra lessons",More teachers,Yes,Fail
20,Male,Others,Business owner,3-5 hours,No,80,94,Yes,Good,Confident,No,Uncomfortable,Good,Always,"More past questions, Better textbooks",Extra classes,No,Fail
18,Male,Victoria Island (Private),Teacher,1-3 hours,No,51,90,Yes,Average,Not confident,No,Uncomfortable,Good,Often,"Extra lessons, Counseling, Tutors",Extra classes,Yes,Fail
18,Male,Ikorodu (Public),Business owner,More than 5 hours,No,88,58,Yes,Good,Not confident,Yes,Neutral,Fair,Occasionally,"Extra lessons, Counseling, Better textbooks",Extra classes,No,Fail
20,Female,Victoria Island (Private),Trader,1-3 hours,Yes,42,84,No,Excellent,Confident,No,Comfortable,Good,Always,Tutors,Improved facilities,No,Fail
18,Male,Victoria Island (Private),Business owner,Less than 1 hour,Yes,80,58,No,Poor,Not confident,No,Comfortable,Poor,Occasionally,Tutors,More practical lessons,Yes,Fail
17,Female,Epe (Public),Teacher,More than 5 hours,Yes,71,55,No,Good,Somewhat confident,No,Uncomfortable,Fair,Often,"Extra lessons, Tutors, Counseling",Extra classes,No,Fail
19,Male,Ikorodu (Public),Artisan,More than 5 hours,No,93,79,Yes,Poor,Very confident,Yes,Neutral,Fair,Never,Counseling,More practical lessons,Yes,Pass
19,Male,Epe (Public),Teacher,1-3 hours,No,76,93,Yes,Average,Somewhat confident,No,Uncomfortable,Excellent,Occasionally,Better textbooks,Improved facilities,Yes,Fail
